Gene name	NCBI gene ID	UniProtKB Gene Name ID	UniProtKB Gene Name symbol
Selenot	69227	P62342	Selenot
Gm5953			
E030025P04Rik		A2A6V5	E030025P04Rik
A830073O21Rik			
CR628363.2			
Znrf3	407821	Q5SSZ7	Znrf3
Znrf3	407821	F7D553	Znrf3
Syt16	238266	Q7TN83	Syt16
Syt16	238266	A0A217FL74	Syt16
Vmn1r95	100312475	E9PUW9	Vmn1r143
Gm19811			
Gm3318			
Gm30285			
Samd14	217125	Q8K070	Samd14
Samd14	217125	B7ZC59	Samd14
Obox4-ps13			
Gm14885			
Kirrel2	243911	Q7TSU7	Kirrel2
Kirrel2	243911	A0A4X8	Kirrel2
Bdh2	69772	Q8JZV9	Bdh2
Bdh2	69772	G3UWD3	Bdh2
Nek2	18005	O35942	Nek2
Gm37724			
CU041232.1			
Gm48001			
C030013C21Rik			
Zfp933	242747	Q3V2G0	Zfp933
Zfp933	242747	Q6PEE4	Zfp933
Vmn1r-ps6			
Gm47346			
Gm15297			
Gm49243			
Gm43903			
Efr3b	668212	Q6ZQ18	Efr3b
Efr3b	668212	A0A1W2P7E0	Efr3b
Efr3b	668212	A0A1W2P7T9	Efr3b
Gm28101			
Gm45005			
4933406P04Rik			
Gm48540			
Gm44729			
Myo1d	338367	Q5SYD0	Myo1d
Chchd6	66098	Q91VN4	Chchd6
Chchd6	66098	E9Q4M4	Chchd6
Jade2	76901	Q6ZQF7	Jade2
Jade2	76901	A2AA59	Jade2
Vmn1r-ps7			
Sephs2	20768	P97364	Sephs2
Ermp1	226090	Q3UVK0	Ermp1
Ermp1	226090	F6TQS9	Ermp1
Ermp1	226090	G8JL46	Ermp1
Gm49957			
Gm7114			
Gm42642			
2310039L15Rik			
Gm28105			
CU041232.2			
Gm42959			
Gm11658			
Olfr1046	258575	Q7TR79	Olfr1046
Obox4-ps14			
Gm45006			
Gm10619			
Vmn1r2	100312470	A2AMT6	Vmn1r2
Gm28104			
Gm50119			
Gm17511			
Gm42544			
Gm6686			
Olfr544	257926	E9PX47	Olfr544
Fam83h	105732	Q148V8	Fam83h
Fam71f1	330277	Q3UZD7	Fam71f1
Fam71f1	330277	B7XG46	Fam71f1
Fam71f1	330277	B7ZWJ6	Fam71f1
Fam71f1	330277	E9Q0U4	Fam71f1
Obox4-ps15			
Gm17849			
Gm31897			
Pnisr	66625	A2AJT4	Pnisr
Pnisr	66625	A2AJT3	Pnisr
Pnisr	66625	A2AJT5	Pnisr
Aqp4	11829	Q50H70	Aqp4
Aqp4	11829	A0A0R4J0Z3	Aqp4
Aqp4	11829	A0A3Q4EI78	Aqp4
Olfr1047	259014	Q8VGS0	Olfr1047
Osbpl8	237542	B9EJ86	Osbpl8
Osbpl8	237542	A0A0R4J150	Osbpl8
Mxd1	17119	A0A0N4SW68	Mxd1
Mxd1	17119	Q8K1Z8	Mxd1
Mxd1	17119	A0A0N4SVF6	Mxd1
9230019H11Rik			
Gm28103			
4930588J15Rik			
Obox4-ps16			
Dnajc24	99349	Q91ZF0	Dnajc24
Dnajc24	99349	A2A4A1	Dnajc24
Gm7450			
B020014A21Rik			
Gm10389			
Gm48590			
A230083G16Rik			
Olfr845	258249	Q7TRG2	Olfr845
Dnah5	110082	Q8VHE6	Dnah5
Gm21269			
1700047G03Rik			
Pisd-ps1			
Ptms	69202	Q9D0J8	Ptms
Rai14	75646	Q9EP71	Rai14
Rai14	75646	A0A2I3BPY7	Rai14
Gm18562			
Gcat	26912	E9PWY6	Gcat
Pdzrn4	239618	E9Q5P6	Pdzrn4
Pdzrn4	239618	E9PUZ9	Pdzrn4
Lrrc41	230654	Q8K1C9	Lrrc41
Gm17147			
Wdr26	226757	Q8C6G8	Wdr26
Wdr26	226757	A0A494BB75	Wdr26
Wdr26	226757	E0CYH4	Wdr26
Vamp9	102639650	A0A1D5RL87	Vamp9
Vamp9	102639650	A0A1D5RLS7	Vamp9
Vamp9	102639650	A0A1D5RLQ4	Vamp9
Opalin	226115	Q7M750	Opalin
Opalin	226115	Q3USW3	Opalin
Hpgds	54486	Q9JHF7	Hpgds
Gm7040			
Ccnk	12454	Q3U3M5	Ccnk
1700008N11Rik			
Gm2098			
Gm8096			
Gm12689		Q8BQU9	Gm12689
Gm45751			
Olfr545	258837	Q9WU94	Olfr545
Pate5	77080	Q9D262	Pate5
Gm37556			
Gm2651			
Gm44957			
Olfr846	258279	Q8VET8	Olfr846
Gm42960			
Obox4-ps17			
Gm12685			
Vmn1r3	100312471	A2AMT7	Vmn1r3
Vmn1r3	100312476	A2AMT7	Vmn1r3
Gm12686			
Obox4-ps18			
Gm7751			
Iqank1	432964	A0A140LHX0	Iqank1
Gm8100			
AI838599			
Ighv1-23		A0A0A6YVW3	Ighv1-23
Olfr847	258518	Q8VFF4	Olfr847
Nans	94181	Q99J77	Nans
Scn1b	20266	P97952	Scn1b
Lbhd2	380787	G3UW55	Lbhd2
Gm38037			
Gm8155			
Gm13121			
Cyp2u1	71519	Q9CX98	Cyp2u1
Gm5761			
Gm13688			
9430007A20Rik	381572	Q8BM81	Aadacl4
Gm45571			
Gm48097			
Gm8110			
Gm6667			
Gm44292			
Erich6	545527	D3Z6S9	Erich6
Gm48815			
Gm42961			
Tek	21687	Q02858	Tek
Tek	21687	B1AWS8	Tek
Tek	21687	Q80YS4	Tek
Rps12-ps17			
Csde1	229663	Q91W50	Csde1
Csde1	229663	Q3U1S6	Csde1
Csde1	229663	Q8JZN2	Csde1
Csde1	229663	A0A0G2JF72	Csde1
Csde1	229663	A0A0G2JE62	Csde1
Rabggtb	19352	P53612	Rabggtb
Rabggtb	19352	Q3TVF4	Rabggtb
Rabggtb	19352	Q9JIF6	Rabggtb
Rabggtb	19352	Q6PFA1	Rabggtb
Rabggtb	19352	A0A0G2JFP7	Rabggtb
Rabggtb	19352	A0A0G2JG79	Rabggtb
Rabggtb	19352	A0A0G2JF29	Rabggtb
Atp10b	319767	B1AWN4	Atp10b
Gm9614			
Gm11783			
Gm13126			
Gm11786			
Fam135b	70363	Q9DAI6	Fam135b
Fam135b	70363	A0A2R8VHM2	Fam135b
BX571788.1			
Sesn3	75747	Q9CYP7	Sesn3
Sesn3	75747	A2RSF4	Sesn3
Sesn3	75747	A0A140LIE1	Sesn3
Sesn3	75747	A0A0J9YMZ5	Sesn3
Gm42849			
Gm11784			
Gm38143			
Gm42851			
Gm16140			
Gm17172			
Astx4c			
Gm49222			
Dcdc5	329482		
Gm29191			
St8sia2	20450	O35696	St8sia2
St8sia2	20450	A0A0A6YVX5	St8sia2
Gm11785			
Gm13124	627085	A2A752	Gm13124
Vmn2r-ps53			
Gm37818			
4930534D22Rik			
Rps12-ps13			
Gm3507			
Obp1a	18249	Q9D3H2	Obp1a
Meis1	17268	Q60954	Meis1
Meis1	17268	A0A0A0MQB8	Meis1
Meis1	17268	H3BLB6	Meis1
Gm37162			
1700022I11Rik	67317	Q3V0W6	1700022I11Rik
1700022I11Rik	67317	A0A087WR66	1700022I11Rik
1700022I11Rik	67317	A0A087WQV9	1700022I11Rik
Gm48483			
Zfy1	22767	P10925	Zfy1
BX571788.2			
Gm13127			
4933427G23Rik			
Gm21756			
Gm33815		A0A087WNV3	Gm33815
Gm33815		A0A0A6YXW0	Gm33815
Rgs16	19734	P97428	Rgs16
Rgs16	19734	Q542U0	Rgs16
Trim14	74735	Q8BVW3	Trim14
Trim14	74735	Q14AR3	Trim14
Gm43054			
Aadacl4	435815	B1AVU5	Aadacl4
Rgs9	19739	O54828	Rgs9
Rgs9	19739	A2A6V6	Rgs9
Rgs9	19739	A2A6V9	Rgs9
Rgs9	19739	Q3UUR0	Rgs9
Gm28210			
Vmn2r63	435975	A0A3B2W3V8	Vmn2r63
Vmn2r63	435975	A0A3B2WCL0	Vmn2r63
Vmn2r63	435975	E9Q0K5	Vmn2r63
Vmn2r63	435975	A0A3B2W4E6	Vmn2r63
Rint1	72772	Q8BZ36	Rint1
Rint1	72772	D3YU07	Rint1
Rint1	72772	D3YU54	Rint1
Gm28610			
Gm5250			
1700025G04Rik	69399	Q3TJL3	1700025G04Rik
1700025G04Rik	69399	A0A0A0MQF7	1700025G04Rik
Gm3331			
Gm29283			
Vcp	269523	Q01853	Vcp
Mettl5	75422	Q8K1A0	Mettl5
Mettl5	75422	D6RCI3	Mettl5
Gm13992			
Gm29074			
Gm14013			
Gm12684			
4933401D09Rik			
Gm45003			
Gm9003			
Gm29053			
Gm48804			
Gm8768			
Gm8234			
Gm2387			
Tex13c3	278255	Q810P0	Tex13c3
Gm28513			
Srgap1	117600	Q91Z69	Srgap1
Srgap1	117600	D3YZW1	Srgap1
Srgap1	117600	F7D9F7	Srgap1
Cyp2c71-ps			
AU022133			
Astx1c			
Gm28211			
Gm12146			
Gm30055			
Fga	14161	E9PV24	Fga
Gm20657			
Gm44419			
Rad54l	19366	P70270	Rad54l
Gm28518			
Gm12144			
2610017A05Rik			
Gm14827			
Gm11998			
Gm37167			
Uqcr11	66594	Q9CPX8	Uqcr11
Pou6f2	218030	Q8BY13	Pou6f2
Pou6f2	218030	H3BIZ0	Pou6f2
Ipo8	320727	Q7TMY7	Ipo8
Ipo8	320727	A0A0N4SUM9	Ipo8
Ipo8	320727	B2KGD7	Ipo8
Gm12147			
Gm9071			
Olfr924	404322	Q7TRB8	Olfr924
Siah2	20439	Q06986	Siah2
Siah2	20439	Q3UEV2	Siah2
Vmn2r-ps10			
Naprt	223646	Q8CC86	Naprt
Naprt	223646	A0A2R8VHP2	Naprt
Btbd35f23	100861966	A0A0R4J2B9	Btbd35f23
Llcfc1	76606	Q9D9P8	Llcfc1
4930512M02Rik	102631730	Q5SQK8	4930512M02Rik
Gm11962			
Gm7543			
Gm11963			
Washc3	67282	Q9CR27	Washc3
Washc3	67282	G3UWG7	Washc3
Washc3	67282	S4R287	Washc3
Washc3	67282	S4R1P7	Washc3
Washc3	67282	S4R1K7	Washc3
Gm8579			
Gm3549			
Ssb	20823	P32067	Ssb
Ssb	20823	Q564E6	Ssb
Ssb	20823	A2AR07	Ssb
Ssb	20823	D6RI87	Ssb
Gm28519			
AC113305.1			
Nlrp3	216799	Q8R4B8	Nlrp3
Nlrp3	216799	Q5SXI6	Nlrp3
Gm21160	108168608		
Gm5938	546335	A2AEN9	Gm5938
Gm8825			
Gm14531			
Fam229b	66337	Q8CF36	Fam229b
Fam229b	66337	B2RVF6	Fam229b
Fam229b	66337	D3Z2A8	Fam229b
1700048O14Rik			
Gm1330		F6TZH1	Gm1330
Gm1330		D3Z460	Gm1330
Gm28637			
Gm50376			
Gm50426			
Gm50377			
Gm20812	108168614	J3QPZ4	Gm20812
Gm12815			
1700030N03Rik			
Gm28636			
Gm12820			
Gm50048			
Gm10555			
Skint4	320640	A7TZF3	Skint4
Skint4	320640	E9QLU2	Skint4
Ccdc90b	66365	Q8C3X2	Ccdc90b
Mrpl44	69163	Q9CY73	Mrpl44
Gm20932	108168604		
Gm6112			
Gm11815			
Gm11813			
Gm50378			
Gm45004			
Gm29134			
1700123O12Rik			
Gm13991			
Olfr1128	258346	Q7TR47	Olfr1128
Gm34808			
Gm14530			
Gm2568			
Gm13740			
Gm37291			
Gm39822			
Uxt	22294	Q9WTZ0	Uxt
Gm16731			
Gm50379			
Il15ra	16169	Q60819	Il15ra
Il15ra	16169	Q810T6	Il15ra
Il15ra	16169	Q501M1	Il15ra
Il15ra	16169	E9QA82	Il15ra
Il15ra	16169	A2AP38	Il15ra
Prpsap2	212627	Q8R574	Prpsap2
Prpsap2	212627	Q5SWZ0	Prpsap2
Gm14592			
Gm48775			
Gja1	14609	P23242	Gja1
Gja1	14609	A0A1W2P793	Gja1
Gja1	14609	A0A1W2P8A3	Gja1
Hadhb	231086	Q99JY0	Hadhb
Hadhb	231086	A0A0G2JER1	Hadhb
Hadhb	231086	D3YXU1	Hadhb
Gm35108			
Gm10750			
4930593A02Rik			
Cdkn2aipnl	52626	Q9D211	Cdkn2aipnl
Wdfy1	69368	E9Q4P1	Wdfy1
Wdfy1	69368	Q9DAD3	Wdfy1
Wdfy1	69368	A0A087WPX9	Wdfy1
Wdfy1	69368	D3YWG9	Wdfy1
Wdfy1	69368	D3Z057	Wdfy1
Kctd17	72844	E0CYQ0	Kctd17
Kctd17	72844	E0CYD2	Kctd17
Kctd17	72844	A0A2R8VHM0	Kctd17
Kctd17	72844	E0CZ97	Kctd17
Kctd17	72844	A0A2R8VKL1	Kctd17
Kctd17	72844	F7B6A4	Kctd17
Kctd17	72844	F6SYN4	Kctd17
6820408C15Rik	228778	Q8BJX2	6820408C15Rik
6820408C15Rik	228778	B0R090	6820408C15Rik
6820408C15Rik	228778	D6RI41	6820408C15Rik
Gm33051			
Gm12000			
Cabp4	73660	Q8VHC5	Cabp4
Rpl22l1	68028	Q9D7S7	Rpl22l1
Rpl22l1	68028	Q0VBA4	Rpl22l1
Rpl22l1	68028	A0A0A6YW21	Rpl22l1
Gm28529			
A930028O11Rik			
Gm49785			
Gm11999			
Mindy4b-ps		A0A1W2P7H6	Mindy4b-ps
Mindy4b-ps		A0A1W2P795	Mindy4b-ps
Epc1	13831	Q8C9X6	Epc1
Epc1	13831	Q6PBH3	Epc1
Slain2	75991	Q8CI08	Slain2
Slain2	75991	A0A0J9YUJ0	Slain2
B430319F04Rik			
Gm50427			
Samd8	67630	Q9DA37	Samd8
Samd8	67630	Q3UH82	Samd8
Samd8	67630	Q14AQ4	Samd8
Samd8	67630	D6REI9	Samd8
Gm42068			
Ikzf1	22778	G5E8H3	Ikzf1
Ikzf1	22778	Q8C9X3	Ikzf1
Ikzf1	22778	Q5SWU0	Ikzf1
Ikzf1	22778	Q5SWT7	Ikzf1
Ikzf1	22778	Q5SWT9	Ikzf1
Gm50428			
Ampd3	11717	O08739	Ampd3
Ampd3	11717	D3YU73	Ampd3
Ampd3	11717	F6XQD0	Ampd3
Ampd3	11717	A0A1L1SRX2	Ampd3
Ampd3	11717	D3Z4N3	Ampd3
H60c	670558	B1B213	H60c
H60c	670558	A0A1L1SRI2	H60c
Gm14135			
Gm44058			
Gm11584			
Gm11223			
Gm11585			
Gm44059			
Gm11224			
Fam83c	71405	A2ARK0	Fam83c
Obp1b	628991	A2AEP0	Obp1b
Gm44473			
Foxa1	15375	P35582	Foxa1
Cyp2c37	13096	P56654	Cyp2c37
Gm49231			
Gpr152	269053	Q8BXS7	Gpr152
Gm27162			
Camk2a	12322	P11798	Camk2a
Camk2a	12322	D3Z7K9	Camk2a
Camk2a	12322	F8WHB5	Camk2a
Camk2a	12322	F8WIS9	Camk2a
Gm3104			
Gm18222			
Gm18244			
Gm9072			
Gm20177			
Gm43196			
Gm11765			
2900018N21Rik			
Btbd35f24		J3QNQ5	Btbd35f24
Gm16141			
Gm37739			
Gm48310			
C030047K22Rik			
Gm9075			
2610001A08Rik			
4933401J01Rik			
Rfc1	19687	G3X8Z6	Rfc1
Rfc1	19687	Q5U4B1	Rfc1
Rfc1	19687	A0A0N5E9G7	Rfc1
Rfc1	19687	G3UWX1	Rfc1
Rfc1	19687	A0A0N4SVN6	Rfc1
Slc25a15	18408	Q9WVD5	Slc25a15
Slc25a15	18408	Q543E2	Slc25a15
Gm18703			
Gm28102		A0A087WQL3	Gm28102
Gm49232			
Gm14600			
Gm14132			
Gm336			
Gm14331			
Zfand1	66361	Q8BFR6	Zfand1
Zfand1	66361	V9GXT9	Zfand1
Zfand1	66361	D3Z7G5	Zfand1
Zfand1	66361	F7CFT1	Zfand1
Eef1d	66656	D3YY68	Eef1d
Eef1d	66656	A0A0R4J1L2	Eef1d
Eef1d	66656	A0A0R4J1E2	Eef1d
Eef1d	66656	Q9CVV2	Eef1d
Eef1d	66656	Q80T06	Eef1d
Eef1d	66656	Q91VK2	Eef1d
Eef1d	66656	F6ZFU0	Eef1d
Eef1d	66656	D3Z7N2	Eef1d
Eef1d	66656	D3YZT9	Eef1d
Eef1d	66656	E9QN08	Eef1d
Eef1d	66656	E9PUM6	Eef1d
Eef1d	66656	D3Z356	Eef1d
Eef1d	66656	D3YUQ9	Eef1d
Gm14333			
Rtl8a	66158	Q9D1F0	Rtl8b
Haspin	14841	A0A0R4J0P2	Haspin
Gm7962			
Vcpip1	70675	A0A0R4J0M9	Vcpip1
Gm18198			
Olfr222	257962	Q7TS30	Olfr222
Adcyap1r1	11517	P70205	Adcyap1r1
Adcyap1r1	11517	Q6NXJ9	Adcyap1r1
Adcyap1r1	11517	E9Q968	Adcyap1r1
Adcyap1r1	11517	E9Q3E8	Adcyap1r1
Adcyap1r1	11517	E9Q4B3	Adcyap1r1
Adcyap1r1	11517	E9QAL0	Adcyap1r1
Adcyap1r1	11517	E9PVE8	Adcyap1r1
Gm6727			
Rtl8b	553127	Q9D1F0	Rtl8b
Gm13331			
Igkv4-54		A0A0G2JES9	Igkv4-54
Igkv4-54		J3QMZ0	Igkv4-54
Spopl	76857	Q2M2N2	Spopl
Spopl	76857	A0A0A6YXV6	Spopl
Spopl	76857	A0A0A6YWE7	Spopl
Spopl	76857	A0A0A6YXL9	Spopl
Gm15935			
Gm43197			
Gm37192			
Gm43198			
Gsdme	54722	Q9Z2D3	Gsdme
Gsdme	54722	E9Q5V3	Gsdme
Gsdme	54722	D3YYP5	Gsdme
Gsdme	54722	E9Q308	Gsdme
Gm20559			
4933416I08Rik			
Gm11558			
Itgae	16407	Q60677	Itgae
Cyp2c54	404195	Q6XVG2	Cyp2c54
Eif6	16418	O55135	Eif6
Eif6	16418	Q545K4	Eif6
Eif6	16418	A6PWZ2	Eif6
Eif6	16418	B1AZQ4	Eif6
Eif6	16418	D6RJJ3	Eif6
Eif6	16418	D6RG53	Eif6
Krtap17-1	77914	A2A5X6	Krtap17-1
Dusp13	27389	Q6B8I0	Dusp13
Dusp13	27389	Q9QYJ7	Dusp13
Dusp13	27389	Q7TNW3	Dusp13
Dusp13	27389	D6RHL3	Dusp13
Dusp13	27389	V9GXV5	Dusp13
Dusp13	27389	V9GXG6	Dusp13
Dusp13	27389	V9GXA1	Dusp13
Dusp13	27389	V9GXA3	Dusp13
Dusp13	27389	Z4YLI2	Dusp13
Dusp13	27389	V9GXC2	Dusp13
Dusp13	27389	V9GXH4	Dusp13
1700034P13Rik			
A230072C01Rik			
Gm6164	620574	K9J7G2	Gm6164
Gm15039			
Cmbl	69574	Q8R1G2	Cmbl
Cmbl	69574	E0CXT6	Cmbl
Cmbl	69574	A0A2I3BPJ4	Cmbl
Cmbl	69574	E0CXH4	Cmbl
Gm15042			
Vmn1r205	171251	Q8R276	Vmn1r205
Gm7353			
Gm44967			
March5	69104	Q3KNM2	March5
March5	69104	A0A0R4J1H0	March5
March5	69104	A2RTC8	March5
Gm50432			
Zfp592	233410	Q8BHZ4	Znf592
Gm15045			
Gm37392			
Elk1	13712	P41969	Elk1
Hmgn2l6			
Vmn1r206	171250	Q8R277	Vmn1r206
Gm47086			
Gm14332			
Gm14131			
Slc22a23	73102	Q3UHH2	Slc22a23
Gm37347			
Gm15294		V9GXA7	Gm15294
Gm436	230890	B1AVU6	Gm436
Gm44451			
Gm15043			
Il1r2	16178	P27931	Il1r2
Il1r2	16178	Q4FK69	Il1r2
Il1r2	16178	A0A0A6YX23	Il1r2
Il1r2	16178	A0A0A6YX83	Il1r2
Vmn1r-ps109			
Gm44459			
Gm15298			
Gm2999			
Gm11787			
Igkv4-53		A0A075B677	Igkv4-53
Igkv4-53		A0A0G2JFC6	Igkv4-53
Gm15044			
Krt33a	71888	Q8K0Y2	Krt33a
Gm42606			
Gm14334			
Igkv4-51		A0N8I8	Igkv4-51
Gm7798			
Fmo2	55990	Q8K2I3	Fmo2
Fmo2	55990	D3YVR1	Fmo2
Ankrd42	73845	Q3V096	Ankrd42
Ankrd42	73845	B7ZNV8	Ankrd42
Ankrd42	73845	D6RCX7	Ankrd42
Ankrd42	73845	A0A0R4J1P5	Ankrd42
Ankrd42	73845	A0A140LHD3	Ankrd42
Gm9077			
Gm13625			
Gm42958			
Skint3	195564	A7TZF0	Skint3
Gm9870			
1700086L19Rik			
Igkv4-50		A0A0B4J1J0	Igkv4-50
Speer9-ps1			
Gm27166			
Tnnt1	21955	O88346	Tnnt1
Tnnt1	21955	Q3TVB8	Tnnt1
Tnnt1	21955	J3QPC8	Tnnt1
Tnnt1	21955	E9PZB4	Tnnt1
Tnnt1	21955	E9PVN9	Tnnt1
Tnnt1	21955	E9Q688	Tnnt1
Tnnt1	21955	E9QA86	Tnnt1
Tnnt1	21955	E9Q0G9	Tnnt1
Xpc	22591	P51612	Xpc
Xpc	22591	A0A0U1RNS4	Xpc
Hypm	67334	Q9CR04	Hypm
Ifnb1	15977	P01575	Ifnb1
Ifnb1	15977	Q0VE17	Ifnb1
Ehd1	13660	Q9WVK4	Ehd1
Ehd1	13660	Q80ZZ0	Ehd1
Samd9l	209086	V9GX63	Samd9l
Samd9l	209086	E9PX59	Samd9l
Abcc8	20927	B2RUS7	Abcc8
Abcc8	20927	A0A1B0GT49	Abcc8
H2al3	385317	Q9D4U4	H2al3
Ifna-ps1			
Ifna14	404549	Q810G3	Ifna14
Olfr1427	258674	Q8VFU9	Olfr1427
Gm28311			
Ifna15	242517	Q61718	Ifna15
Ifna9	15972	P09235	Ifna9
Gm2106			
Gm16933			
Vmn2r-ps40			
Rtkn2	170799	Q14B46	Rtkn2
Rtkn2	170799	E9QP76	Rtkn2
Skint9	329918	A7TZG3	Skint9
Cyp2c50	107141	Q91X77	Cyp2c50
Gm14055			
Gm28310			
Gm37527			
Uba1y	22202	P31254	Uba1y
Kel	23925	Q9EQF2	Kel
Kel	23925	A0A0A6YXM8	Kel
Gm45745			
Vmn1r-ps110			
5830408C22Rik			
Gm28504			
Gm44869			
2310026L22Rik			
Plxna4os1			
Gm16894			
Raxos1			
Catsper1	225865	Q91ZR5	Catsper1
Htra4	330723	A2RT60	Htra4
Gm14064			
Cpeb3	208922	A0A0R4J102	Cpeb3
Cpeb3	208922	D3Z5R9	Cpeb3
Cpeb3	208922	D3YUL6	Cpeb3
Cpeb3	208922	D3Z5F3	Cpeb3
Cpeb3	208922	D3Z1R6	Cpeb3
Cpeb3	208922	D3Z3Z5	Cpeb3
Cpeb3	208922	D3YXB8	Cpeb3
Cpeb3	208922	F6T0J8	Cpeb3
Plxna4os2			
Gm6501			
Wdr1	22388	O88342	Wdr1
Wdr1	22388	Q3TJY2	Wdr1
Wdr1	22388	A0A0J9YU05	Wdr1
Rnf141	67150	Q99MB7	Rnf141
Rnf141	67150	H3BJU0	Rnf141
Rnf141	67150	H3BJB4	Rnf141
Rnf141	67150	A0A1B0GT51	Rnf141
Rnf141	67150	H3BKH1	Rnf141
Rnf141	67150	H3BJE9	Rnf141
1700017D01Rik	69369	G5E851	1700017D01Rik
Ppp1r32	67752	A0A0R4J0F3	Ppp1r32
Ppp1r32	67752	A0A494B8Y3	Ppp1r32
Ppp1r32	67752	A0A494B9Z9	Ppp1r32
Adh7	11529	Q64437	Adh7
Adh7	11529	Q9D748	Adh7
