Official	LFC	FDR
DOCK7	-7.4308	0.244876
ARSI	-8.7749	0.247909
SNED1	-8.255	0.264415
NEURL1B	-8.6688	0.247909
LRRC24	-8.4003	0.264415
CRLF2	-7.5654	0.271741
ZBTB42	-7.9148	0.264415
GRIN2A	-8.4549	0.278625
FAM149A	-7.687	0.278625
CT45A5	-8.6688	0.240523
OXTR	-8.1048	0.279761
KIR3DX1	-8.239	0.279761
UCN3	-7.9607	0.279761
FAM21D	-8.6192	0.272195
C11orf1	-7.73	0.280515
PTPRU	-8.267	0.285402
SLC7A11	-7.7502	0.288081
EDN2	-7.9662	0.28833
CTSS	-8.5172	0.28833
PINK1	-8.586	0.28833
TMEM178B	-8.5562	0.28833
NPRL3	-7.5621	0.28833
COL6A2	-8.1735	0.288683
CLDND2	-8.5201	0.295487
CBWD6	-6.5643	0.949396
CPPED1	-8.7624	0.298588
FASTKD3	-8.1812	0.298588
FBLN2	-8.1438	0.298588
KRTAP5-4	-7.8438	0.298588
RP11-613M10.9	-9.7615	0.215776
FNIP2	-8.7581	0.301258
SLC8A2	-8.308	0.303578
CT47B1	-8.081	0.298588
EN2	-8.432	0.303578
ACKR3	-8.0794	0.303578
SBF2	-8.3338	0.303578
ZAN	-8.1788	0.303578
ENO4	-7.9848	0.303578
FAM182B	-7.863	0.303578
C16orf95	-8.152	0.303578
FLJ00104	-8.4238	0.303578
PTPN14	-7.7718	0.303578
PCCA	-7.8751	0.303578
VCY	-8.6781	0.303578
ELK3	-8.0705	0.303578
MC2R	-8.112	0.303578
CCDC105	-7.4406	0.316709
CSMD2	-8.2199	0.322815
TMEM132C	-7.9941	0.323162
AC187652.1	-8.3878	0.316709
CRLF3	-8.3478	0.316709
CD82	-8.4539	0.324597
CDH2	-8.709	0.324597
GALNT14	-8.1638	0.324597
LYPD5	-8.7718	0.322815
TLR7	-8.3855	0.324597
MPG	-8.2747	0.324597
SLC9B1P1	-8.7954	0.323162
PCSK6	-8.2851	0.324597
AC026202.1	-8.4321	0.28833
TMEM71	-8.7459	0.324597
AC006486.9	-8.806	0.278625
AC110771.1	-8.7357	0.324597
HP	-8.2764	0.324597
ATG2A	-8.3603	0.324597
TAOK3	-8.4801	0.324597
PSTPIP1	-7.9685	0.324597
COX10	-8.1893	0.324597
ENTPD3	-8.177	0.324597
ANKRD62	-8.3185	0.324597
FAM25E	-8.5372	0.324597
PPAT	-8.2776	0.324597
AMBRA1	-8.5826	0.324597
AC104809.3	-8.462	0.324597
SCN9A	-8.6119	0.324597
ZNF788	-7.7446	0.351
SLC17A9	-8.1015	0.324597
EPHA2	-8.6533	0.324597
PTK7	-8.2127	0.324597
RYR3	-8.1819	0.324597
ROCK2	-7.0237	0.324597
ACOT1	-8.6359	0.324597
LRRC18	-8.2611	0.324597
PARD3	-8.3981	0.330489
AFF2	-7.466	0.330489
HBE1	-6.5643	0.324597
RP11-1055B8.6	-8.1927	0.330737
ITPK1	-8.4619	0.330737
KRTAP27-1	-8.3229	0.330737
ATP10A	-7.8105	0.324597
C17orf53	-8.6814	0.336369
HRH3	-8.0997	0.339336
SGPL1	-8.4753	0.339561
KIAA1211L	-7.8092	0.330737
CCKBR	-8.406	0.339942
LHPP	-8.3688	0.339942
HEPHL1	-8.7212	0.330737
KIAA1456	-8.2569	0.340157
A3GALT2	-7.2992	0.332166
NAA40	-6.713	0.340157
NR2F6	-8.3991	0.324597
OPRD1	-8.6221	0.346376
WWC2	-8.4285	0.346376
MUSTN1	-8.3783	0.346556
CCR6	-8.1598	0.346556
DRD2	-8.3405	0.346556
TWIST2	-7.8589	0.340157
UNC5A	-8.4485	0.340157
PTPRS	-8.3402	0.346556
SIAE	-8.0196	0.346556
AMOTL1	-8.0015	0.346556
GPR110	-8.147	0.346556
BOC	-8.0955	0.346556
C10orf11	-7.7577	0.347156
RALGAPA2	-8.3449	0.346376
NIPAL2	-8.7996	0.346376
AC007375.1	-8.6074	0.35055
GRID1	-8.1878	0.35055
CCDC180	-6.9049	0.350956
NME3	-8.5604	0.346556
MMP8	-7.7529	0.351
ACP1	-8.5029	0.351
AC011897.1	-8.6206	0.351
PSG5	-8.1849	0.351
PDE6C	-7.596	0.351
ART4	-8.1547	0.351
TSPAN7	-7.9835	0.346556
VN1R4	-7.1608	0.346556
PLEKHA1	-8.253	0.351
GPR111	-8.6578	0.351
PAGR1	-8.2456	0.358693
KRTAP10-10	-8.336	0.351864
LPAR2	-8.0126	0.351864
PADI3	-8.6559	0.352439
PRLH	-8.5106	0.354962
TMEM140	-7.9139	0.354962
MORN2	-8.6996	0.354962
AL035406.1	-8.4752	0.324597
BOD1L2	-7.9049	0.358693
TMEM31	-7.8871	0.351
ELF4	-8.392	0.358693
STRN	-7.3123	0.358693
CCDC160	-8.2717	0.358693
DLAT	-8.055	0.358693
PPP4R1	-7.9419	0.351864
NOX3	-8.5513	0.359693
MAPK4	-8.3289	0.359693
HSD17B6	-7.9331	0.359693
IFNA6	-7.9082	0.359693
SLC1A3	-7.852	0.359693
GLIPR2	-7.8028	0.360014
RSPRY1	-8.3125	0.358693
SLC22A3	-8.159	0.365915
CHRNA2	-8.293	0.365915
OR10G9	-8.6315	0.365915
EDN3	-7.9283	0.366099
VIL1	-8.4431	0.358693
CASS4	-8.6692	0.366426
DYRK1A	-8.5679	0.358693
KRT19	-8.1926	0.366426
DIXDC1	-8.0964	0.366426
L3HYPDH	-8.2073	0.369513
SORCS3	-8.6216	0.374176
SLCO1B7	-8.9254	0.324597
STPG2	-7.9218	0.374176
NMT2	-7.7618	0.374176
ANKRD31	-8.4091	0.374176
SPACA1	-6.5484	0.374176
SIRPB2	-7.6754	0.374176
KAAG1	-8.5223	0.366426
KCNH2	-8.5275	0.366426
C7orf63	-8.5275	0.366426
CCL4L1	-8.6844	0.374176
MUC6	-8.3478	0.366426
PCDH15	-8.4887	0.374176
IFIT5	-8.1639	0.374176
GBA3	-8.3636	0.374176
CDK20	-8.1672	0.374176
COL25A1	-8.2224	0.374176
C10orf105	-8.4516	0.374176
KCNJ11	-8.3796	0.374176
RPS6KA4	-7.893	0.374176
RPGR	-8.1524	0.374176
PACS1	-8.5323	0.374176
THEGL	-7.9202	0.374176
SPHKAP	-8.3945	0.374176
EPHB6	-8.0886	0.374176
HPS5	-8.5639	0.374176
R3HCC1	-8.6609	0.374176
CEACAM1	-8.2347	0.374176
C22orf42	-8.3453	0.374176
PCDHA12	-8.4185	0.374176
TNFAIP3	-7.6555	0.376479
AIFM2	-8.5531	0.378016
IGHJ5	-8.5094	0.339942
LRRFIP2	-8.1544	0.378729
TAAR6	-8.3382	0.378729
PXDN	-8.5226	0.378729
CLVS2	-7.5262	0.380972
ATG7	-8.6684	0.380972
JMJD8	-7.474	0.380972
AC073342.1	-8.6301	0.351
GABRG2	-8.1136	0.380972
HS6ST2	-8.362	0.380972
FSTL3	-8.2972	0.380972
MFHAS1	-8.4942	0.380972
KIAA1217	-7.8382	0.380972
BCAS3	-8.6959	0.383073
AC010336.1	-8.4451	0.383073
GRIA3	-8.0168	0.376479
AMELY	-8.0178	0.383147
UNC80	-7.5308	0.383147
RP11-295K3.1	-7.3825	0.383147
SLC20A2	-8.4207	0.383277
HECA	-7.9128	0.385371
PARM1	-8.761	0.380972
AC005544.1	-8.0447	0.389569
DKFZP547L112	-8.5889	0.389569
PRAMEF6	-8.3239	0.374176
TCF12	-8.2453	0.389569
OGFRL1	-8.4404	0.389569
KCNJ16	-7.7487	0.389569
LPAR1	-8.3905	0.389569
ITGAV	-8.4374	0.389569
AC010441.1	-8.6182	0.389569
ADORA1	-8.4865	0.390989
OTUD1	-8.5924	0.390989
GRIK4	-8.3764	0.390989
AC012123.1	-8.4212	0.384433
SMAD4	-8.2579	0.391047
IDO1	-8.3212	0.391047
MVB12B	-7.5851	0.391047
C21orf119	-7.5717	0.391047
LINC00632	-8.4882	0.391047
KCNJ2	-8.6278	0.391047
ANO4	-8.6142	0.391047
HLA-F	-8.1986	0.39186
APCDD1	-8.4531	0.392382
TMEM82	-7.2819	0.392382
CLK2	-8.3906	0.389569
FAM83D	-7.8327	0.394972
DDX58	-8.6595	0.389569
MIXL1	-7.9367	0.398847
CCDC174	-6.3378	0.389569
MTRR	-7.9687	0.399593
PTAR1	-6.3285	0.399593
CA13	-6.9174	0.399593
PPP1R12B	-8.5037	0.399593
POSTN	-7.693	0.399593
FN1	-8.1414	0.399593
MSLNL	-7.1608	0.399593
FSHR	-8.6739	0.399593
GPR78	-7.0889	0.399593
ESX1	-8.6943	0.399593
TMC7	-7.6564	0.399593
MEIG1	-7.3751	0.376479
AC019294.1	-8.07	0.400459
CYP2D6	-8.3731	0.40074
SMCO3	-8.1192	0.40074
SERPINA5	-7.4063	0.389569
WDR13	-8.5514	0.403222
RTN4R	-8.6736	0.405404
FAM179A	-8.4434	0.408017
KRTAP22-1	-8.2603	0.413802
OPALIN	-8.2487	0.399593
PAM	-8.4472	0.392382
FAM199X	-8.3794	0.414872
TEX37	-8.5984	0.414872
RP11-297N6.4	-7.8218	0.399593
PRSS21	-7.4688	0.399593
HRASLS	-8.2173	0.415519
ATRIP	-7.899	0.40074
FAM78A	-7.724	0.418131
CCAR2	-8.5887	0.418131
MOGAT2	-8.2893	0.418131
FAM72B	-6.7197	0.419425
CD46	-8.1718	0.419425
ZNF395	-8.2723	0.419425
EPB41L4A-AS2	-8.4479	0.420653
CXorf40B	-8.5198	0.389569
CDKN1A	-8.5206	0.422551
STS	-8.0705	0.413301
SLC14A1	-8.2421	0.424705
NPTX2	-8.5515	0.424957
TMEM163	-8.1254	0.427695
ADAMTSL1	-8.4012	0.428156
OR56A4	-7.5636	0.428156
NR1H2	-8.0144	0.428156
PTGIS	-7.9933	0.428156
TRBV23-1	-8.0456	0.419425
TRBV6-8	-7.7333	0.428156
FAM198A	-7.2188	0.428156
SLC23A2	-7.7794	0.421447
SCFD2	-8.1602	0.428156
NFKB1	-8.5357	0.428156
RASGRP4	-8.0529	0.428156
TFE3	-8.2189	0.428156
TEX33	-8.2237	0.424351
TGM4	-8.495	0.428156
OXGR1	-8.49	0.428156
WNT7B	-8.4875	0.428156
HADH	-8.379	0.428156
GJB1	-8.4428	0.428156
PPP2R2C	-8.0233	0.428156
HK1	-8.5036	0.428156
FBXO44	-8.2425	0.428156
ATG14	-8.23	0.428156
HSPB6	-8.0581	0.428156
FAM196A	-8.4267	0.428156
UPP2	-7.8269	0.428156
CTC-326K19.6	-7.7166	0.428156
TRAV8-2	-8.2916	0.428156
FAM110D	-7.7544	0.428156
IGLL1	-7.9738	0.428156
MMP21	-8.1793	0.428156
TNFAIP8L1	-8.3708	0.428156
ATG2B	-8.3548	0.428156
CLDN5	-8.2501	0.428156
BMP3	-8.1881	0.428156
CACNA1C	-8.2315	0.428156
RASD1	-7.9927	0.428156
SPIN2B	-8.1131	0.428156
CERK	-8.3908	0.428156
NHLRC1	-8.0092	0.428156
KLHL21	-8.4815	0.42934
IGHA2	-8.564	0.42934
DEK	-8.0594	0.430142
PIK3CD	-7.7179	0.428156
PAK4	-8.4539	0.428156
PSKH2	-7.4335	0.430837
PCDH19	-7.5834	0.430837
FAM133A	-6.3139	0.430837
MATN2	-8.4043	0.430837
KCND1	-8.3818	0.430837
IKZF1	-8.3262	0.431646
VWA2	-7.8366	0.434395
WISP1	-7.9496	0.428156
RP11-729L2.2	-8.5773	0.436007
NRXN2	-7.9987	0.436349
CLU	-7.903	0.436349
RP11-770J1.4	-8.1517	0.436349
KLHL34	-7.7509	0.436349
LGR5	-7.4518	0.436349
NELL1	-8.5797	0.436349
ANGPT2	-8.5101	0.437578
S100P	-8.4696	0.437578
AC004899.1	-8.509	0.4393
CLPB	-8.6283	0.439452
C14orf166B	-8.043	0.439452
IKBIP	-8.4566	0.436007
AC093802.1	-8.302	0.439452
FIGF	-7.9903	0.439452
SNCAIP	-7.8315	0.439452
EYS	-7.9644	0.439955
EFCAB14	-7.8905	0.442899
DUOXA2	-7.7978	0.445492
TCTE3	-8.2095	0.446041
NCR1	-8.3938	0.446082
EFCAB1	-7.6448	0.446814
ALX3	-8.3614	0.446814
CILP	-8.2518	0.44756
RP11-279O9.4	-8.5936	0.44819
FAM160A2	-8.3096	0.44819
CX3CL1	-8.5894	0.44819
LRRN4CL	-8.1557	0.443265
TRBV6-5	-7.4926	0.44819
IFNL4	-7.9315	0.44819
STK24	-8.3029	0.44819
LRP2	-8.5641	0.449117
HTR4	-8.3383	0.449117
OR10A2	-8.5351	0.449117
PCSK5	-8.3214	0.449117
CC2D2B	-7.5469	0.449201
SPIRE2	-8.5427	0.44756
KLK9	-8.327	0.461343
GALNT13	-8.165	0.454175
TMEM225	-8.1035	0.454644
TMC1	-7.8487	0.455476
CC2D2A	-8.0634	0.44819
RPS4Y1	-8.3636	0.455759
AC017028.1	-7.9164	0.457207
AMMECR1	-7.9332	0.457207
PRKCA	-8.2991	0.457207
C1orf167	-8.2779	0.457207
HTRA3	-7.7961	0.457207
AL158091.1	-8.5195	0.457207
STRADB	-6.9064	0.457207
PICK1	-8.012	0.457207
TAS1R3	-8.119	0.460426
AL354898.1	-8.3235	0.461343
PRADC1	-7.1413	0.461343
SIRT1	-8.0669	0.457207
CHRNA3	-7.2226	0.461343
PASD1	-8.3679	0.457207
SSB	-7.3751	0.457207
C15orf37	-7.4365	0.461343
FLT4	-8.1904	0.461343
C2orf50	-7.8154	0.461343
IGKV6D-41	-8.407	0.461343
DKFZP761K2322	-8.4449	0.461343
ERN2	-6.7421	0.461343
GGCX	-8.0544	0.461343
C3orf33	-7.9227	0.461343
MON1B	-7.089	0.461343
IGF2	-8.2657	0.461343
SLC28A1	-7.8791	0.461343
ANO10	-7.9908	0.461343
AQP12A	-8.4187	0.461343
ENAM	-8.5804	0.461343
AC103809.2	-8.2967	0.461343
GGACT	-8.1205	0.463131
CCSAP	-8.2703	0.46338
PRMT3	-8.3126	0.466031
AL450307.1	-8.4566	0.463032
TFRC	-8.109	0.457207
NDRG1	-8.521	0.473142
CTB-54O9.9	-8.112	0.464529
CBY3	-8.5616	0.477476
SOST	-7.3557	0.477476
FLNC	-8.3571	0.478446
RP3-422G23.4	-8.3088	0.478567
KLHL9	-8.5222	0.478567
GDE1	-8.2687	0.478567
TCEB3CL2	-7.4845	0.430837
SPINK2	-8.5323	0.478567
ALX1	-7.2048	0.478567
GCC2	-8.0147	0.478567
ADI1	-7.4004	0.478567
DCLK2	-8.1026	0.478567
PDK3	-8.1499	0.478567
PPP4R4	-8.185	0.478567
C2CD5	-8.1291	0.478567
DIP2C	-8.1243	0.478567
FAM92A1	-8.1856	0.478567
SMCO1	-8.2617	0.478567
KRTAP13-1	-7.9157	0.478567
THSD1	-7.8649	0.478567
AL592284.1	-8.5786	0.478567
BEND4	-8.4074	0.478567
GPRC5A	-8.1405	0.478567
SLC4A4	-8.2595	0.478567
PRAMEF21	-8.379	0.478567
GLYAT	-8.1611	0.478567
NPY1R	-8.0864	0.478567
SBNO2	-7.7835	0.478567
DTX1	-8.2751	0.478567
PRED62	-7.8848	0.478567
XYLT1	-7.702	0.478567
FOXB1	-8.53	0.478567
HEXDC	-7.3931	0.478567
AC115618.1	-8.351	0.478567
SLC5A9	-7.5146	0.478567
KRTAP20-1	-8.4199	0.478567
RDH14	-8.1271	0.478567
C15orf56	-8.3776	0.478567
MKX	-7.425	0.478567
TTC9B	-7.8349	0.478567
HTR1B	-8.0195	0.478567
SYDE1	-8.1272	0.478567
KRTAP19-5	-8.3968	0.478567
GAD2	-8.4539	0.478567
TXNRD1	-7.6716	0.478567
AGBL1	-8.4099	0.478567
MID1	-8.2825	0.478567
GLIPR1L1	-8.2534	0.478567
ADRB1	-8.3095	0.478567
WTIP	-8.4374	0.478567
MAP2K4	-8.3343	0.478567
GLUD2	-8.0441	0.478567
AL645728.1	-8.4549	0.478567
MTMR1	-8.0686	0.478567
THBD	-8.1599	0.478567
PTPRR	-8.161	0.478567
ITPR1	-8.0221	0.479223
CFP	-7.7444	0.479223
HRASLS5	-7.0235	0.479223
PCDHAC1	-7.9805	0.479223
PIK3R2	-7.4364	0.483509
ARSD	-8.3554	0.479283
SLC8B1	-7.9122	0.479617
BLACE	-7.7494	0.479663
FAM154A	-7.7831	0.479663
CRB3	-8.3807	0.479663
AC009403.2	-7.343	0.479663
SIPA1L2	-8.0404	0.481509
IL27	-8.5068	0.479223
SERPINA10	-8.1996	0.481509
LDLRAD2	-8.348	0.481509
GATA4	-7.8717	0.481509
ECM1	-6.6908	0.481509
KCNK6	-7.9507	0.482068
ZNHIT1	-5.982	0.479663
MPP1	-8.4074	0.479663
PRR16	-7.9694	0.483115
RP1-139D8.6	-8.4169	0.483115
RP11-321M21.3	-7.127	0.483509
EFCAB11	-7.9372	0.484487
C1orf106	-7.1421	0.484487
GIPR	-8.1017	0.481509
CTDSP1	-7.6881	0.484487
PTPN12	-8.2571	0.484487
TMEM233	-7.8894	0.484487
NUDT22	-8.4035	0.484487
AP001631.10	-7.9424	0.484487
IGHA1	-8.0049	0.484487
HIC1	-8.6067	0.487831
TRAV38-2DV8	-8.7404	0.457207
ANGPTL7	-8.1111	0.490319
RP11-113D6.6	-8.2441	0.490319
SH3YL1	-7.6692	0.490319
STK31	-8.0335	0.490319
PTCHD2	-8.2321	0.490319
ST6GAL1	-8.5427	0.490319
SH3RF3	-8.2106	0.490319
HTRA4	-8.1373	0.490319
MPPED1	-8.2965	0.493254
PPFIA4	-8.5505	0.493254
IFITM10	-8.2502	0.493254
LTF	-8.305	0.493254
WDR64	-8.3359	0.493254
C10orf107	-7.8007	0.494685
PNMAL2	-8.2916	0.478567
KRT75	-7.5257	0.49515
EXOC6	-7.9829	0.49515
CDK19	-8.074	0.49515
MMP28	-7.9387	0.49515
C2orf80	-7.323	0.490319
MYRF	-8.5052	0.495882
CHD9	-8.0164	0.495882
IFNL2	-8.1177	0.495882
RP11-162P23.2	-8.3324	0.495882
MAP10	-7.6602	0.497162
TTC26	-7.102	0.493254
RPS6KA2	-8.0645	0.498561
C12orf5	-7.132	0.498662
MEX3D	-8.5001	0.501465
BLNK	-8.2609	0.503084
MAGEF1	-8.4092	0.503084
TNFAIP2	-8.0222	0.503084
RXFP1	-7.677	0.495882
SPOCK3	-7.8123	0.504703
WWC1	-7.0393	0.504703
CCDC27	-7.6073	0.504703
FP15737	-8.5257	0.50606
GPR183	-8.5341	0.50606
VWF	-7.8889	0.50606
ATP6C	-8.7217	0.478446
LMAN1	-8.3348	0.50606
PTPRB	-8.3418	0.50606
PRKCDBP	-8.072	0.506608
POU2AF1	-8.314	0.507095
PPP1R12C	-7.9727	0.507122
GPR31	-8.1629	0.508406
RBMXL3	-8.402	0.495882
AJUBA	-8.3449	0.504007
SNX19	-8.4182	0.512124
TMC3	-7.437	0.512124
FAM50B	-8.3708	0.504703
ATXN2L	-8.2406	0.512124
OR13A1	-8.2394	0.512124
IGHV1-24	-8.1437	0.512124
FIBP	-7.9675	0.515334
C2orf48	-8.2545	0.515334
CD40LG	-8.3649	0.515334
HCAR3	-7.8507	0.515334
DYSF	-8.1373	0.515334
CLDN1	-7.9666	0.515334
TRIM72	-7.8367	0.515334
C14orf183	-7.7083	0.515334
CTD-2144E22.5	-8.529	0.515334
SHANK1	-8.4694	0.515334
PRB1	-7.7174	0.51779
MORC3	-8.1783	0.520683
KRTAP22-2	-8.6383	0.512124
ATXN7L1	-7.012	0.520683
CTD-2207O23.10	-8.3088	0.520683
DYRK3	-7.7157	0.520683
APP	-7.9244	0.520683
AL020996.1	-8.3951	0.520683
CDO1	-8.0576	0.520683
DEAF1	-8.1686	0.520683
CTD-2616J11.11	-8.198	0.512124
NINJ2	-8.3277	0.523236
KRTAP6-1	-7.3188	0.523236
PPP1R3G	-7.9796	0.523236
ARPC1B	-8.1914	0.526428
AMBN	-8.0545	0.526428
AC016757.3	-8.3113	0.526428
CHDC2	-7.8921	0.526522
FEZ2	-8.2907	0.526522
AL035252.1	-8.4302	0.526539
TIMP3	-8.4257	0.526539
AC020922.1	-8.3978	0.526539
OR4B1	-7.3592	0.526897
EPHX1	-8.134	0.526897
C16orf89	-7.5427	0.526897
AGAP2-AS1	-8.0838	0.526897
DEFB121	-8.9619	0.478383
TEX28P1	-7.8189	0.526897
SLC12A8	-7.4805	0.527588
IGHV5-51	-8.089	0.52923
CDK17	-8.4377	0.523236
SEPT6	-8.4727	0.523236
ABL1	-7.7246	0.529723
SEPHS2	-8.0928	0.529723
MSS51	-7.5566	0.530126
CHM	-7.0653	0.525407
FNDC1	-8.4593	0.533302
MEPE	-8.2242	0.533302
GXYLT2	-7.6806	0.533302
GUCA1B	-6.7833	0.533907
CXorf64	-8.6264	0.526539
SFRP4	-8.3507	0.533907
PIK3R1	-7.5851	0.533907
AHR	-8.0535	0.533907
C11orf71	-8.0976	0.533907
OR2F2	-8.0563	0.533907
GPR18	-8.0806	0.533907
KRT34	-7.9797	0.53436
JPH1	-8.0562	0.53436
THSD7A	-8.3736	0.526897
ARID5B	-7.7449	0.53436
THBS1	-8.5081	0.53436
PASK	-8.0474	0.53436
CYP2D7P	-7.5804	0.527588
RDH13	-7.4421	0.535802
ARHGEF37	-8.2899	0.535802
TEX38	-8.3095	0.535802
C5orf38	-7.1236	0.536701
MAGEB17	-7.268	0.536701
AC010327.2	-8.9505	0.478567
FASTK	-8.186	0.536701
CACNA2D4	-8.1671	0.536701
AC005609.1	-8.3721	0.536701
FAM218A	-8.1015	0.527588
SUMF2	-8.1832	0.537452
AC010536.1	-7.886	0.537452
AC006156.1	-8.399	0.533302
C1orf220	-7.9113	0.537452
CRTAC1	-8.0789	0.537452
ADCYAP1	-8.5339	0.537452
NR3C2	-6.8275	0.537452
GMDS	-7.8459	0.537452
CYS1	-7.1598	0.537452
SLC39A9	-8.1115	0.537452
LTA	-8.4605	0.537452
SLITRK1	-8.4565	0.537452
MPZL3	-8.3332	0.537452
HDAC10	-8.2931	0.537452
PRKX	-7.475	0.537452
PCDH17	-8.0492	0.53436
FAM162B	-7.4793	0.537452
RP11-527L4.2	-8.212	0.537452
PDK4	-8.241	0.537452
MAGED2	-7.9583	0.537452
AUTS2	-7.8301	0.53526
LRRC16B	-8.0285	0.537452
GPR27	-7.5699	0.537452
ASIP	-7.1851	0.537452
NUTM2E	-8.4498	0.53858
PEX6	-8.4605	0.53858
CTC-490E21.12	-8.0983	0.536701
ZNF865	-7.742	0.54105
AC024940.1	-7.4448	0.541332
HTR3B	-7.7844	0.541332
REEP6	-8.2811	0.541885
SLC6A8	-8.0914	0.537452
LCTL	-7.6513	0.541885
PCDH10	-8.0221	0.541885
ITGA4	-8.2116	0.541885
GRIN3A	-7.8301	0.537452
INSRR	-8.1217	0.542401
SRRD	-7.6065	0.542466
CARD10	-7.9418	0.545879
ACTN4	-8.5204	0.546523
LYPD2	-8.1982	0.537452
CFD	-8.1853	0.546827
AP5B1	-8.3214	0.546827
SCN1B	-8.3503	0.546827
EPHB1	-7.0985	0.546827
ETNK1	-8.1144	0.546827
AHNAK2	-8.2806	0.546827
AC079612.1	-8.4727	0.537452
IGFBPL1	-7.0077	0.537452
RNFT2	-7.9195	0.547652
AR	-8.4085	0.547652
PPP6R2	-7.8588	0.547652
VKORC1	-8.0634	0.538539
ANKRD23	-8.3844	0.550154
DDIT4	-8.1744	0.550154
MUC12	-8.1324	0.551332
STK10	-8.266	0.551575
OR2T3	-6.6775	0.551575
FKBP8	-8.3036	0.541332
CALCB	-7.8301	0.541332
C1QTNF4	-7.2382	0.552591
PRED57	-8.0622	0.552591
LEKR1	-7.075	0.555238
SLC35E2	-8.2309	0.5568
OBSCN	-8.0879	0.545532
TUBA8	-7.391	0.556816
GPR115	-7.8907	0.556816
GPANK1	-7.3681	0.556816
PLS3	-7.9649	0.556816
PDE6A	-8.2547	0.556816
ANKS1A	-7.3577	0.556816
AVPR2	-7.898	0.556816
SLC17A4	-7.9024	0.556816
OR52L1	-8.2788	0.556816
